idx,clip_dir,sentence,blip_frame,grid_path
13,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_10/01,"A white delivery truck with ""Dongwoong"" and ""LOEX"" logos is seen on the right side of the road, and a silver sedan passes by on the left.",5,<SCRATCHPAD>/temporal_grids/grid_13.jpg
14,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/01,"In front of the vehicle, a blue bus labeled ""1002"" is seen driving in the opposite direction, while a red and white bus passes by on the left side of the road.",2,<SCRATCHPAD>/temporal_grids/grid_14.jpg
15,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_3/04,"Various vehicles, including sedans, SUVs, and a large white truck, are present in the adjacent lanes, with some vehicles changing lanes or stopping.",6,<SCRATCHPAD>/temporal_grids/grid_15.jpg
16,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,"In front of the ego-vehicle, there is a dense traffic flow, with numerous cars and buses traveling in the same direction, their brake lights glowing red.",0,<SCRATCHPAD>/temporal_grids/grid_16.jpg
17,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/03,"As the vehicle progresses, it approaches an intersection where a white sedan is waiting at the crosswalk.",9,<SCRATCHPAD>/temporal_grids/grid_17.jpg
18,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_9/03,"The vehicle continues to move forward, passing under the tunnel and emerging into bright daylight.",9,<SCRATCHPAD>/temporal_grids/grid_18.jpg
19,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_9/02,"A blue bus is seen approaching from the opposite direction at an intersection, while a white van and a gray SUV are also present in the same direction.",8,<SCRATCHPAD>/temporal_grids/grid_19.jpg
20,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_24/02,"The road surface is reflective, showing the headlights and taillights of passing vehicles.",1,<SCRATCHPAD>/temporal_grids/grid_20.jpg
21,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_22/02,"As the video progresses, the ego-vehicle begins to move forward, passing a black car and a gray SUV that are stopped at the intersection.",8,<SCRATCHPAD>/temporal_grids/grid_21.jpg
22,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_11/02,"The traffic flow is moderate, with vehicles maintaining a steady pace as they approach and cross the intersection.",4,<SCRATCHPAD>/temporal_grids/grid_22.jpg
23,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_1/04,"As the vehicle approaches the intersection, it passes a white car on the left and a white truck on the right, both of which are moving in the opposite direction.",8,<SCRATCHPAD>/temporal_grids/grid_23.jpg
24,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_32/01,"A white car is seen in the foreground, approaching the intersection, and it is positioned in the left lane.",7,<SCRATCHPAD>/temporal_grids/grid_24.jpg
25,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_21/03,"The vehicle is moving forward in the rightmost lane, maintaining a steady pace as it approaches an intersection.",8,<SCRATCHPAD>/temporal_grids/grid_25.jpg
26,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_17/04,"A black car is seen approaching the intersection ahead, while a motorcycle passes by on the opposite side.",6,<SCRATCHPAD>/temporal_grids/grid_26.jpg
27,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_8/02,"As the vehicle progresses, it approaches an intersection where traffic signals are visible.",6,<SCRATCHPAD>/temporal_grids/grid_27.jpg
28,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/03,"The ego-vehicle is following a white Kia SUV, which is in the adjacent lane and has its brake lights illuminated.",3,<SCRATCHPAD>/temporal_grids/grid_28.jpg
29,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_6/04,"The vehicle is maintaining a steady pace, passing through the intersection without stopping.",0,<SCRATCHPAD>/temporal_grids/grid_29.jpg
30,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_3/03,"The underpass entrance is visible, and the vehicle enters a dark tunnel, where the light gradually increases as it exits.",3,<SCRATCHPAD>/temporal_grids/grid_30.jpg
31,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/04,"The traffic is dense, with numerous cars in the adjacent lanes, their brake lights and headlights creating a dynamic display of light patterns.",5,<SCRATCHPAD>/temporal_grids/grid_31.jpg
32,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_6/02,"The road is lined with trees and buildings, and the traffic is moderate with several cars passing by.",6,<SCRATCHPAD>/temporal_grids/grid_32.jpg
33,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_9/03,"The video captures a front-view ego-vehicle stopped at an intersection on a wet, two-lane road during the daytime.",2,<SCRATCHPAD>/temporal_grids/grid_33.jpg
34,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_10/04,"The ego-vehicle maintains a steady pace, following the flow of traffic and passing through the intersection.",8,<SCRATCHPAD>/temporal_grids/grid_34.jpg
