caption_order,sentence,best_frame_idx,best_timestamp_pct,best_score,is_event,clip_dir
3,"Raindrops are visible on the windshield, reflecting the bright sunlight, and the road markings are clearly visible.",9,90.0,0.7952,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02
4,"The traffic appears to be moderately dense, with vehicles maintaining a steady flow.",6,63.3,0.1351,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02
5,A speed limit sign indicating 50 is visible on the left side of the road.,2,27.8,0.0529,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02
6,The overall scene suggests a typical urban environment with a bustling flow of traffic during a rainy day.,3,36.7,0.5735,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02
0,"A front-view ego-vehicle is driving straight through a three-lane road intersection on a clear, sunny day.",7,72.2,0.3064,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02
1,"The road is paved and well-maintained, with visible white lane markings and a crosswalk in the middle of the intersection.",9,90.0,0.7541,True,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02
2,"The ego-vehicle is in the rightmost lane, and it is following a black sedan and a black taxi ahead.",9,90.0,0.4908,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02
3,"The road is lined with buildings on both sides, including a large building with a sign that reads ""세현브랜드국"" and a smaller building with a ""DONGGUK"" sign.",5,54.4,0.4958,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02
4,"A blue sign above the intersection indicates directions to ""가정교"" (Gangnam) and ""도마내거리"" (Domyang-dong), with arrows pointing to the right and left.",3,36.7,0.5209,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02
5,"The sky is bright and clear, with the sun casting shadows on the road and buildings.",6,63.3,0.9679,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02
6,"The traffic flow is moderate, with several cars and a truck moving in the same direction.",2,27.8,0.8295,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02
7,The ego-vehicle maintains a steady speed as it approaches and crosses the intersection.,8,81.1,0.2335,True,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02
0,"The ego-vehicle is moving straight along a city street, which is a three-lane road with clear lane markings.",3,36.7,0.8563,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03
1,"The road is paved and appears to be in good condition, with a white line indicating the center of the road and a yellow line marking the edge of the road.",2,27.8,0.8268,True,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03
2,"The video shows a clear and sunny day, with bright sunlight illuminating the scene.",4,45.6,0.2336,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03
3,"The traffic flow is moderate, with several vehicles visible in the adjacent lanes.",9,90.0,0.6552,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03
4,"A white car is in the adjacent lane, and a white SUV is seen on the right side of the road.",8,81.1,0.9555,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03
5,"There are various signs and storefronts on the right side of the road, including a sign for a pet grooming service and a store named ""Heungkak."" The road is lined with trees and buildings, and the overall environment appears to be a typical urban setting.",5,54.4,0.3242,False,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03
0,"The video captures a front-view ego-vehicle driving along a city street during the daytime, with the road condition being wet from recent rain.",6,63.3,0.9851,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_5/01
1,"The road is a two-lane road with a crosswalk marked by yellow stripes in the center, and the pavement appears slick from the rain.",8,81.1,0.9495,True,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_5/01
2,"The surrounding environment includes modern buildings, trees with bare branches, and various roadside objects such as traffic signs, streetlights, and parked cars.",6,63.3,0.896,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_5/01
3,"A white car is seen driving past on the left side of the road, and a pedestrian with an umbrella is visible on the right side, crossing the street.",8,81.1,0.9981,True,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_5/01
4,"The camera is positioned in the vehicle, and the view is slightly obscured by raindrops on the windshield, which are visible as blurs in the foreground.",5,54.4,0.8403,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_5/01
5,"The ego-vehicle is moving forward at a steady pace, navigating through the intersection, and the traffic lights are visible in the distance.",6,63.3,0.318,True,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_5/01
6,"The overall scene reflects a typical urban setting with a moderate level of traffic and a wet, overcast atmosphere.",6,63.3,0.4085,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_5/01
0,"The ego-vehicle is driving straight on a three-lane road under an overpass, with a clear and well-maintained asphalt surface.",6,63.3,0.1493,True,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_2/03
1,"The road is bordered by a concrete wall on the right, featuring a colorful stripe of red, yellow, and blue.",1,18.9,0.9998,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_2/03
2,"The left side of the road has a metal guardrail, and beyond it, a series of tall buildings rise into the sky, with some visible streetlights.",8,81.1,0.8925,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_2/03
3,"The traffic flow is moderate, with several cars and a large orange truck moving in the same direction.",5,54.4,0.8294,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_2/03
4,"The ego-vehicle maintains a steady pace, following the flow of traffic.",3,36.7,0.0787,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_2/03
5,"The sky is overcast, suggesting a cloudy day, and the visibility is clear, allowing for a good view of the surroundings.",5,54.4,0.2352,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_2/03
0,"The ego-vehicle is moving straight along a city street, with a clear view of the road ahead.",7,72.2,0.8601,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_11/01
1,"The road is a two-lane road with a yellow double line in the center, and the lanes are marked with white dashed lines on the right side.",2,27.8,0.9742,True,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_11/01
2,"The road is lined with buildings on both sides, including a modern glass building on the left and a brick building on the right.",3,36.7,0.6534,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_11/01
3,"There are several pedestrians on the sidewalks, and a few bicycles parked along the side of the road.",6,63.3,0.6272,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_11/01
4,"A black car is visible in the distance, and a white car is approaching from the left.",0,10.0,0.5555,True,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_11/01
5,"The road is clear and dry, with no visible obstructions.",1,18.9,0.2586,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_11/01
6,"The sky is overcast, and the lighting is soft, suggesting a cloudy day.",9,90.0,0.2157,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_11/01
7,"The vehicle is moving at a steady pace, maintaining a consistent distance from the other vehicles.",8,81.1,0.4539,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_11/01
0,"The ego-vehicle is driving on a multi-lane highway at night, with the road surface appearing wet, reflecting the headlights of surrounding vehicles.",3,36.7,0.473,False,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/01
1,"The scene is illuminated by streetlights and vehicle headlights, creating a bright but limited visibility.",2,27.8,0.8096,False,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/01
2,"The road has white lane markings, including an arrow indicating forward movement, and the vehicle is positioned in the rightmost lane.",0,10.0,0.5877,False,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/01
3,"The traffic flow is moderate, with several cars moving in the same direction, and the ego-vehicle is maintaining a steady speed.",1,18.9,0.0061,False,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/01
4,"The surrounding environment features urban buildings, some with illuminated signs, and the road is lined with trees and street furniture.",1,18.9,0.0003,False,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/01
5,"The camera captures the vehicle from a front-facing perspective, and the motion is smooth, indicating a steady, controlled driving experience.",3,36.7,0.0339,False,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/01
0,"The video captures a front-view ego-vehicle driving on a city street during the daytime, under a sunny sky with scattered clouds.",0,10.0,0.9962,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_20/03
1,"The road is a three-lane road with clear lane markings, including white arrows indicating traffic direction.",1,18.9,0.8423,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_20/03
2,"The ego-vehicle is positioned in the middle lane, moving forward through an intersection.",1,18.9,0.0967,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_20/03
3,"The intersection features a crosswalk with wide white stripes, and traffic signals are visible above the road.",6,63.3,0.9963,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_20/03
4,"Nearby vehicles, including a black car and a white van, are present, with some vehicles moving in the opposite direction.",4,45.6,0.9158,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_20/03
5,"The surrounding area includes buildings, trees, and street signs, with a mix of modern and older architecture.",1,18.9,0.0037,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_20/03
6,"The road is well-lit, and the overall visibility is clear, allowing for a detailed observation of the traffic flow and road conditions.",0,10.0,0.0357,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_20/03
7,"The ego-vehicle is seen stopping at the intersection, indicating a change in traffic flow or a need to wait for a signal.",4,45.6,0.1193,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_20/03
0,"The ego-vehicle is moving straight on a multi-lane city street during the daytime, with the road surface appearing to be partially covered in snow.",3,36.7,0.4637,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02
1,"The road is lined with bare trees and modern buildings, and the traffic is moderate with several vehicles in the adjacent lanes.",0,10.0,0.9797,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02
2,"The ego-vehicle is traveling in a lane marked by white lines, and it is surrounded by other cars, including a black van on the left and a white car on the right.",3,36.7,0.7959,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02
3,"The visibility is slightly reduced due to the presence of raindrops on the camera's lens, which are visible as blurry spots on the screen.",5,54.4,0.8312,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02
4,"The road has a clear intersection ahead, with a traffic light showing green, allowing the ego-vehicle to proceed.",1,18.9,0.098,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02
5,"The surrounding environment is urban, with buildings and street signs visible in the background.",7,72.2,0.466,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02
6,"The overall scene suggests a typical city driving experience in a snowy, rainy environment.",0,10.0,0.6665,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02
0,"The ego-vehicle is moving straight along a two-lane city street, with clear road markings and a yellow dividing line.",9,90.0,0.9739,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/01
1,"The road is flanked by trees and a body of water on the left side, with a tall, modern building visible in the distance.",0,10.0,0.9997,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/01
2,"The weather is sunny, with a bright blue sky and scattered white clouds.",2,27.8,0.384,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/01
3,"The road is mostly clear, with a few parked cars on the right side and a few vehicles moving in the opposite direction.",2,27.8,0.8913,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/01
4,"The ego-vehicle is in the right lane, and the traffic flow is smooth, with no visible congestion.",7,72.2,0.5314,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/01
5,"The road is well-maintained, with no visible potholes or debris.",9,90.0,0.457,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/01
6,"The video is captured during the daytime, with natural sunlight illuminating the scene.",3,36.7,0.3256,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/01
0,"The ego-vehicle is moving straight along a multi-lane city street, with clear road markings and a smooth asphalt surface.",9,90.0,0.5104,False,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/01
1,"The road is divided into multiple lanes, with the ego-vehicle occupying the rightmost lane.",2,27.8,0.8915,False,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/01
2,"In front of the vehicle, a blue bus labeled ""1002"" is seen driving in the opposite direction, while a red and white bus passes by on the left side of the road.",2,27.8,0.9904,True,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/01
3,"The road is flanked by trees and greenery, and buildings with signs and advertisements are visible on the right side of the road.",6,63.3,0.9563,False,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/01
4,"The sky is overcast, and the lighting suggests it is daytime.",0,10.0,0.3668,False,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/01
5,"The road condition appears to be clear, with no visible debris or damage.",9,90.0,0.6228,False,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/01
6,"The ego-vehicle maintains a steady speed as it navigates the road, with no significant changes in its trajectory or the surrounding traffic.",2,27.8,0.1044,True,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/01
0,"The video captures a front-view of a city intersection during a rainy day, with the camera positioned inside a vehicle.",3,36.7,0.9632,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_9/01
1,"The road is wet, reflecting the light and creating a glossy surface, and the scene is illuminated by bright sunlight, causing glare and lens flare.",6,63.3,0.8281,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_9/01
2,"The road is a three-lane road with a crosswalk in the middle, and vehicles are seen moving in both directions.",6,63.3,0.1089,True,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_9/01
3,"The ego-vehicle is stopped at the intersection, with a white car on the right side of the frame and a black car on the left.",9,90.0,0.4155,True,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_9/01
4,"In the background, there are several buildings, including a modern skyscraper, and a bus stop with a bus parked nearby.",3,36.7,0.0004,True,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_9/01
5,"Traffic signs are visible above the intersection, including a speed limit sign indicating 50 km/h.",8,81.1,0.0493,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_9/01
6,"The surrounding area is filled with other vehicles, including a white car moving from left to right, and the overall atmosphere is busy and active.",2,27.8,0.8932,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_9/01
0,"The video captures a front-view ego-vehicle driving on a city street during the daytime, with the road condition being wet from rain.",8,81.1,0.9869,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_8/03
1,"The road is a three-lane road with white lane markings, and the vehicle is moving straight ahead.",4,45.6,0.0871,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_8/03
2,"The surrounding environment features modern buildings with various signs, including ""COTTON COFFEE"" and ""THE LOUNGE,"" as well as a ""Self"" branded vehicle on the left.",6,63.3,0.0604,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_8/03
3,"The road is populated with other vehicles, including a white SUV in the adjacent lane and a white car in front.",7,72.2,0.7536,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_8/03
4,"The visibility is limited by the rain, which creates water droplets on the camera lens, and the traffic flow is moderate.",2,27.8,0.9338,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_8/03
5,"The camera captures the vehicle's movement through the urban landscape, with the road's wet surface reflecting the light.",9,90.0,0.9945,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_8/03
0,"The ego-vehicle is moving straight through a multi-lane highway intersection on a snowy day, with the road surface visibly covered in snow.",0,10.0,0.0001,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04
1,"The scene is captured from the perspective of the vehicle's front, showing the road marked with white lines and a ""50"" speed limit sign.",0,10.0,0.0062,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04
2,"The vehicle is navigating through a busy urban environment with several other cars, including a white sedan and a silver SUV, all moving in the same direction.",6,63.3,0.9688,True,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04
3,"The surrounding area features tall buildings with glass facades, and the sky is overcast with a mix of white and gray clouds.",2,27.8,0.0018,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04
4,"Raindrops are visible on the windshield, indicating that it is also snowy and possibly rainy.",0,10.0,0.0116,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04
5,"The traffic flow is moderate, with vehicles maintaining a steady pace.",9,90.0,0.0594,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04
6,"The intersection has clear traffic signs and is well-lit, providing visibility for all drivers.",0,10.0,0.0016,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04
7,The overall scene depicts a typical city street during a winter day with a mix of snow and rain.,3,36.7,0.0006,False,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04
0,"The video captures a front-view ego-vehicle driving on a city street during the daytime, with the road surface visibly wet from rain, as indicated by the water droplets on the camera lens.",3,36.7,0.9227,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_3/04
1,"The road is a two-lane city street with yellow dividing lines, and the ego-vehicle is positioned in the right lane, traveling in the same direction as other vehicles.",3,36.7,0.8973,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_3/04
2,"The road is lined with modern buildings and trees, and there are several vehicles in the vicinity, including a white pickup truck directly ahead and a white SUV to the right.",3,36.7,0.9211,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_3/04
3,"The traffic appears to be moving at a moderate pace, with other cars and a few pedestrians visible on the sidewalks.",8,81.1,0.7704,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_3/04
4,"The scene is illuminated by natural daylight, and the overall atmosphere suggests a typical urban environment during rainy weather.",1,18.9,0.3691,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_3/04
0,"The ego-vehicle is moving straight on a multi-lane highway, with the road surface appearing wet from the rain, which is evident from the water droplets on the windshield.",1,18.9,0.6723,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/03
1,"The road is divided into multiple lanes, with a yellow dividing line running down the center, and the surrounding area features tall buildings and a few trees with bare branches, indicating a city environment.",1,18.9,0.8924,True,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/03
2,"The vehicle is traveling in a lane with other cars, including a white sedan and a black SUV, moving in the same direction.",3,36.7,0.9348,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/03
3,"On the left side of the road, there is a bus and a few other vehicles, while the right side has a white car and a black car approaching from the opposite direction.",4,45.6,0.2407,True,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/03
4,"The road has a series of traffic signs, including speed limits of 50 km/h, and the visibility is somewhat limited due to the rain.",0,10.0,0.2188,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/03
5,"The weather is rainy, and the daylight is visible through the raindrops, with the sky appearing overcast.",1,18.9,0.1336,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/03
6,"The ego-vehicle is moving steadily through the traffic, maintaining a consistent speed.",2,27.8,0.1277,False,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/03
0,"The ego-vehicle is moving straight along a city street during the daytime, with clear visibility and a sunny weather condition.",3,36.7,0.0474,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02
1,"The road is a two-lane road with a yellow dividing line and a red-painted lane on the right, which appears to be designated for a specific type of traffic, possibly a bus or a designated path.",9,90.0,0.9933,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02
2,"The road is lined with buildings on both sides, including modern and traditional structures, and there are trees and utility poles along the street.",9,90.0,0.9747,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02
3,"A few cars are parked on the side of the road, and other vehicles are moving in the opposite direction.",2,27.8,0.6177,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02
4,"The road is well-maintained with clear markings, and the surrounding area is relatively quiet with minimal traffic.",8,81.1,0.9206,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02
5,"The camera captures the vehicle's forward motion as it progresses down the street, passing by various signs and traffic signals.",3,36.7,0.286,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02
0,The ego-vehicle is moving straight on a city street with a clear and sunny day.,3,36.7,0.8046,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/01
1,"The road is a two-lane road with a yellow and white striped crosswalk in the foreground, indicating a pedestrian crossing.",0,10.0,0.9658,True,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/01
2,"The road is surrounded by trees and buildings, with a mix of modern high-rise structures and lower residential buildings.",3,36.7,0.7965,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/01
3,"There are several vehicles on the road, including a white SUV in the right lane and a green bus on the left.",6,63.3,0.9801,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/01
4,"The traffic light is green, allowing the ego-vehicle to proceed.",0,10.0,0.6445,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/01
5,"The road has a designated bike lane on the right side, and the road surface appears to be in good condition.",7,72.2,0.9328,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/01
6,"The sky is blue with some white clouds, and the overall visibility is excellent.",9,90.0,0.237,False,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/01
0,"The ego-vehicle is moving straight along a multi-lane city street, with the road surface appearing wet from recent rain, as evidenced by the reflections and droplets on the windshield.",7,72.2,0.9807,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/04
1,"The road is lined with tall buildings, including modern glass skyscrapers, and the surrounding area features trees and street signs.",5,54.4,0.2567,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/04
2,"The traffic is dense, with several cars and a blue bus visible in the adjacent lanes.",8,81.1,0.1126,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/04
3,"The vehicle is navigating through a busy urban environment, with the road conditions and weather conditions clearly indicated as rainy and wet.",4,45.6,0.9106,True,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/04
4,"The ego-vehicle maintains a steady course, following the flow of traffic, while the surrounding vehicles, including a white van and a silver sedan, move in close proximity.",8,81.1,0.6226,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/04
5,"The overall scene captures a typical day in a bustling city, with the rain adding a reflective quality to the roadway.",7,72.2,0.8315,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/04
0,"The ego-vehicle is moving straight along a three-lane city street, with the road surface appearing clear and well-maintained.",8,81.1,0.3526,False,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_3/03
